ID,Company_Size,Job_Position,Industry,Strategic_BI_Availability,Strategic_BI_Alternatives,Strategic_BI_Alignment,Tactical_BI_Availability,Tactical_BI_Resource_Alloc,Tactical_BI_Data_Decisions,Operational_BI_Availability,Operational_BI_Agility,Operational_BI_Quality,BI_Improves_Decisions,BI_Speed_Accuracy,BI_Data_Inform,BI_Alternative_Solutions,BI_Cost_Barrier,BI_Training_Limit,BI_Flexibility_Issue,BI_Data_Integration_Issue
32,2,4,2,3,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4
33,2,4,4,5,5,5,4,4,4,5,3,5,4,4,4,4,4,5,4,3
34,3,5,2,4,5,5,3,4,4,4,4,5,4,4,4,4,5,5,3,4
35,1,3,1,3,2,4,3,2,3,3,4,4,3,4,5,4,4,5,4,3
36,1,5,5,3,4,3,2,3,3,3,3,2,2,1,4,3,3,5,5,3
37,3,2,4,3,3,4,3,5,4,5,5,4,5,4,5,4,5,5,4,5
38,2,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,5,1,3
39,1,4,2,4,4,3,5,4,5,5,4,3,5,4,3,4,4,4,4,5
40,2,3,4,5,5,5,5,5,5,4,5,4,5,4,4,4,4,4,4,4
41,3,5,3,5,4,4,5,5,5,5,4,4,5,4,5,5,5,5,5,5
42,1,3,5,5,5,5,4,4,5,3,4,5,5,4,5,4,5,5,3,2
43,1,4,4,3,4,5,4,5,3,2,3,4,4,3,4,5,2,2,3,4
44,2,5,5,4,3,4,4,5,4,3,3,4,3,4,3,3,4,3,3,4
45,1,5,3,5,4,4,5,5,5,4,4,5,5,4,5,5,5,4,5,5
46,1,5,3,2,4,4,4,4,4,5,4,5,4,4,4,4,5,4,4,4
47,1,4,4,4,5,4,5,5,5,4,4,5,4,5,4,5,4,5,5,5
48,1,3,3,3,2,3,3,4,3,2,4,2,4,3,3,2,2,3,3,2
49,1,3,5,3,2,3,4,4,3,2,4,4,3,4,4,5,3,4,3,4
50,2,5,5,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3
51,1,5,3,2,2,3,2,3,3,3,2,3,3,2,3,3,2,2,2,2
52,3,1,1,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5
53,1,5,3,2,3,3,4,3,3,2,3,3,3,3,3,3,2,4,2,2
54,3,5,5,2,2,3,3,3,3,3,3,3,2,2,3,4,3,2,3,3
55,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3
56,2,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,3,5
57,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4
58,2,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
59,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,2,4
60,2,5,5,5,5,5,5,4,4,4,4,5,4,4,4,5,4,4,4,4
61,1,4,5,4,3,3,4,3,3,5,4,4,3,5,4,4,2,2,3,2
62,2,2,3,4,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,3
63,2,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4
64,3,5,2,5,5,5,5,5,5,5,5,4,4,5,5,4,4,5,5,5
65,1,5,4,4,3,3,2,4,4,4,5,4,4,4,4,4,4,2,4,4
66,2,4,2,4,5,4,4,4,4,3,3,4,3,4,4,3,2,3,5,4
67,3,5,5,4,3,4,3,3,4,4,4,5,5,4,4,3,5,2,2,3
68,3,3,3,5,5,5,5,5,4,4,4,5,4,4,5,4,4,4,5,4
69,2,3,3,4,4,4,4,5,5,4,5,5,4,4,4,4,5,4,4,3
70,2,5,5,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,3,3
71,3,3,1,4,5,5,5,5,5,5,4,5,5,4,4,5,5,4,5,5
72,2,3,4,5,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4
73,1,5,2,3,4,4,2,3,4,3,4,4,4,3,4,2,3,4,3,3
74,2,1,2,4,4,3,4,4,4,4,5,5,5,5,5,5,3,5,2,3
75,2,2,1,4,4,4,4,3,3,4,4,4,5,5,5,5,3,4,4,4
76,3,5,2,5,5,5,5,4,5,5,5,4,3,4,4,3,2,1,3,4
77,2,2,2,3,3,3,4,4,3,3,3,3,4,3,3,3,3,3,3,3
78,1,3,2,5,4,4,4,3,5,2,4,4,4,2,4,3,3,2,4,4
79,2,5,5,3,4,5,3,3,4,4,4,4,5,4,5,3,4,5,3,3
80,3,5,3,1,4,3,2,3,5,4,4,1,4,2,4,2,1,4,2,4
81,1,4,2,4,4,5,4,3,4,4,3,4,4,5,5,5,4,4,2,2
82,1,1,2,4,5,4,4,3,4,4,4,3,4,3,4,3,4,5,3,4
83,2,4,3,4,3,3,4,4,4,5,4,4,4,5,5,3,4,4,4,3
84,2,1,4,3,3,3,3,4,3,4,4,4,3,4,4,3,3,3,4,4
85,2,2,5,2,2,5,2,3,4,1,5,5,3,2,3,2,2,4,2,2
86,3,5,5,4,4,3,2,4,3,4,3,3,3,4,4,2,4,5,4,5
87,1,5,2,4,3,5,3,4,3,4,4,4,3,3,4,3,4,4,3,4
88,1,5,2,3,3,4,4,4,4,4,3,3,3,3,4,4,3,3,3,3
89,1,5,2,3,4,3,4,4,4,4,3,3,4,4,4,4,3,4,3,3
90,1,5,2,3,4,4,4,3,3,3,3,3,4,5,5,5,5,3,2,4
91,2,3,3,4,4,5,4,4,4,4,5,5,5,5,5,5,5,4,2,3
92,1,5,2,4,5,5,4,4,5,4,4,4,5,5,5,4,3,4,4,5
93,2,5,2,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3
94,2,5,2,5,4,4,4,4,3,3,4,4,5,5,2,2,4,5,4,5
95,2,2,2,4,4,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3
96,2,3,3,4,4,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3
97,2,3,2,4,4,4,4,4,4,4,5,5,4,5,5,5,4,4,1,3
98,1,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
99,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
100,1,5,3,5,4,5,5,4,4,3,4,5,4,4,4,4,5,4,3,4
101,3,5,3,3,4,4,4,4,5,4,5,4,5,4,4,5,5,4,5,5
102,3,5,3,5,4,5,4,5,5,5,5,4,5,5,5,5,3,4,2,3
103,2,3,3,4,4,4,4,4,4,5,5,4,4,4,4,5,4,4,4,4
104,2,2,4,4,4,4,4,4,4,5,5,4,4,5,4,4,4,4,4,4
105,2,4,5,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4
106,3,5,4,4,5,5,5,5,4,5,5,4,5,4,5,5,5,5,5,4
107,2,3,3,4,4,4,5,4,4,4,5,5,4,5,5,5,4,4,4,4
108,1,4,3,4,4,5,4,5,5,4,5,4,5,5,5,5,3,2,3,5
109,3,5,4,5,4,5,5,4,5,5,4,5,4,2,4,3,1,5,4,5
110,3,2,3,4,4,3,4,4,5,3,5,4,5,5,5,4,4,5,3,3
111,3,5,5,4,5,5,5,4,4,5,4,4,4,4,5,4,3,4,3,4
112,3,5,3,4,4,5,3,4,5,4,3,4,5,3,4,3,4,5,3,2
113,1,4,2,4,4,4,4,5,4,5,4,5,4,4,4,3,3,3,2,2
114,2,1,4,4,4,4,4,4,3,4,4,5,4,4,4,4,3,3,4,4
115,1,2,3,4,4,4,5,4,4,5,5,4,4,5,5,4,4,5,2,4
116,1,5,2,4,5,4,5,4,5,5,4,4,4,5,5,3,3,5,2,3
117,3,5,4,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,4
118,1,1,1,3,3,3,3,3,3,3,3,3,3,3,4,2,2,5,2,5
119,2,5,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
120,2,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
121,2,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
122,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
123,1,5,2,4,4,3,4,4,4,3,4,3,4,3,4,5,5,2,3,4
124,3,5,5,4,3,3,3,4,3,4,4,4,3,3,5,4,3,5,3,4
125,3,2,3,4,4,3,3,4,4,4,5,4,4,5,4,3,2,4,4,4
126,3,3,3,3,3,3,2,3,4,3,3,3,2,3,2,3,3,3,3,2
127,2,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,3,4,2,3
128,2,3,3,3,3,4,4,4,4,4,3,4,3,3,4,3,3,3,3,3
129,3,5,5,4,4,5,4,4,5,4,5,5,4,5,4,5,4,5,4,4
130,2,5,5,2,3,4,4,3,4,4,3,4,3,2,4,2,4,2,5,3
131,1,5,5,3,3,4,2,4,4,4,5,3,4,5,5,3,2,4,4,3
132,3,3,1,5,4,4,4,4,5,5,5,4,4,4,4,4,1,2,3,1
133,3,5,2,4,4,3,3,3,4,4,3,3,4,3,4,4,3,4,4,3
134,1,5,3,4,4,3,4,5,3,5,4,4,3,4,5,3,2,2,5,1
135,3,5,5,4,3,3,3,4,4,4,4,4,4,4,4,4,5,3,2,2
136,2,4,2,5,3,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4
137,1,2,3,4,4,2,4,3,4,4,4,4,4,5,5,4,4,4,3,3
138,3,5,5,4,4,4,4,4,5,5,3,4,4,5,4,4,3,3,3,3
139,2,3,3,4,4,4,4,5,4,4,5,4,4,4,5,4,4,4,4,4
140,2,3,3,4,5,4,4,4,4,4,4,4,5,5,5,5,4,3,2,3
141,1,1,3,4,4,5,4,4,4,4,4,4,4,3,4,4,3,3,2,4
142,3,5,1,3,3,4,3,4,4,4,4,4,5,4,5,3,4,4,4,4
143,2,4,3,3,4,3,4,3,4,4,4,4,3,3,3,3,3,3,3,3
144,3,5,2,3,3,4,4,4,3,4,2,4,4,2,4,2,3,3,4,2
145,1,2,5,4,4,3,3,4,4,4,3,3,3,4,4,3,3,3,4,3
146,2,1,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4
147,2,3,3,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4
148,1,2,3,4,4,4,4,3,4,3,4,4,5,5,3,3,4,3,3,4
149,2,3,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3
150,2,3,1,4,5,4,5,4,4,4,4,5,4,4,4,4,4,5,4,4
151,1,4,2,5,3,4,4,3,4,4,4,4,4,3,4,3,4,5,5,5
152,3,5,5,4,3,4,3,4,4,3,3,4,4,3,3,4,3,3,3,2
153,2,4,4,4,5,3,3,4,4,4,4,3,3,5,4,3,4,4,5,4
154,1,3,3,3,4,3,5,3,2,4,3,3,4,3,2,4,3,4,3,3
155,1,4,3,3,3,4,4,3,4,3,4,3,4,3,4,4,3,4,3,4
156,1,5,5,4,4,3,4,4,4,4,2,5,2,2,3,3,5,5,4,4
157,3,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,2,2
158,1,3,4,3,3,4,3,4,3,4,3,3,3,3,4,3,4,3,4,3
159,1,5,2,4,4,3,3,4,4,2,4,4,4,3,2,3,3,4,2,3
160,3,2,3,4,5,3,2,4,5,4,4,4,5,4,4,3,4,4,5,3
161,1,5,3,3,3,4,2,4,5,5,3,3,4,4,3,3,5,4,3,5
162,3,3,5,2,4,4,3,3,4,2,4,4,4,4,5,4,1,5,3,5
163,1,4,2,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,3,4
164,1,5,3,2,4,5,3,5,4,4,4,4,4,4,4,4,4,5,3,3
165,2,2,2,3,4,3,4,3,4,3,4,4,4,3,4,3,4,3,4,3
166,3,5,2,3,3,4,4,3,4,4,4,3,3,3,3,3,2,4,4,4
167,3,5,3,3,4,4,4,4,4,4,4,4,4,3,2,3,3,3,3,3
168,1,3,5,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,3
169,2,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,5,4,3,3
170,2,5,5,3,4,4,3,4,4,4,4,4,4,5,4,4,3,4,3,3
171,1,5,2,3,4,4,3,4,4,4,4,4,4,4,4,3,2,4,3,4
172,3,3,2,3,5,4,4,3,5,4,5,3,3,2,2,3,4,3,5,4
173,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
174,1,4,1,4,4,4,4,4,4,4,4,4,4,5,4,4,3,3,3,4
175,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
176,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
177,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
178,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
179,2,4,2,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,3,4
180,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,3,4
181,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3
182,2,2,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
183,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3
184,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3
185,3,2,4,3,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4
186,1,4,3,3,4,4,4,3,4,3,4,4,3,3,3,4,3,4,4,3
